algorithm,acad_s1,acad_s2,acad_s3,acad_s4,acad_s5,acad_s6,lib_s1,lib_s2,lib_s3,lib_s4,lib_s5,lib_s6
CBLOF,0.05,0.018,0.113,0.028,0.0,0.071,0.061,0.009,0.323,0.002,0.0,0.0
COPOD,0.039,0.018,0.115,0.028,0.018,0.071,0.061,0.007,0.307,0.002,0.018,0.0
ECOD,0.035,0.018,0.124,0.028,0.018,0.071,0.058,0.005,0.198,0.0,0.018,0.0
HBOS,0.063,0.031,0.114,0.047,0.0,0.113,0.071,0.01,0.272,0.002,0.0,0.0
IForest,0.039,0.018,0.117,0.028,0.018,0.071,0.061,0.005,0.303,0.002,0.018,0.0
KNN,0.009,0.005,0.1,0.011,0.0,0.007,0.026,0.009,0.298,0.007,0.0,0.0
LOF,0.035,0.016,0.083,0.031,0.018,0.002,0.006,0.005,0.079,0.011,0.018,0.0
OCSVM,0.039,0.018,0.113,0.028,0.0,0.071,0.061,0.009,0.323,0.002,0.0,0.0
SUOD,0.039,0.018,0.114,0.028,0.018,0.071,0.065,0.009,0.324,0.004,0.0,0.0
xStream,0.039,0.018,0.118,0.029,0.018,0.071,0.061,0.007,0.303,0.002,0.018,0.0
